Namn,Domän,Segment,Geografi,Prismodell,Min-stay,Sales motion,Lead-form (fält),Chatt,Framework,Google Ads,Meta Ads,Programmatisk SEO,Största styrka,Största svaghet,ICP-relevans (AWP)
Rentaborg,rentaborg.com,"B2B corporate + staff/project housing, 1–500+","50+ städer/8 länder; Göteborg + industriorter","Per enhet/månad all-in; fr. €45/natt; GBG 12–22k SEK/mån",30 dagar,Offert ("options 24h"),"~10 (företag/namn/mail/tel/land/stad/datum/duration/antal/bransch)",Nej,Next.js,Ja (AW-17443560069),Okänt (ingen fbq),Ja,"Vass B2B-copy + bred programmatisk SEO + 'one invoice'","Trovärdighet: AI-bilder, overifierade claims, ung domän",Hög
Kassoe Housing,kassoehousing.com,"B2B corporate housing crews/projekt + relocation","Pan-EU ~12 länder; SE inkl Göteborg",Offert; ingen pristransparens,EJ VERIFIERAT,Offert + Apollo-outbound,~18 (mkt hög friktion),Nej,WordPress/Elementor,Okänt,Okänt,Ja,"Portal + native app + full crew-logistik","Ingen pris, ~18-fälts form, ingen chatt, en-GB",Hög
Workers Stay,workersstay.com,"B2B arbetar-/projektboende blue-collar, team 4–200+","12–15+ EU-länder; tung SE-industri (GBG/Skellefteå/Luleå)","Per person/natt all-in, fr. €25/natt",30 nätter,Hybrid (offert <30min + self-serve + OTA),"Inline 6 / fullt ~11",Nej (WhatsApp),Vite/React,Ja (2 konton: AW-18075940627/AW-17159979002),Ja (pixel 32808262188787589),Ja (371 URL),"Hyper-nischad SEO (Volvo/yrke/arbetsgivare) + lågpris + flerspråk","Trovärdighet: UK-skalbolag, overifierbara megaclaims, placeholder-pixlar",Mycket hög
Forenom,forenom.com,"Serviced apts/aparthotell/hostels; corporate + worker (B2B+B2C)","Norden + DE; egna Göteborg/Volvo-kluster; 150 städer/9000 enh",Transparent webshop per natt/mån + offert för volym,Mjuk (long-stay-marknadsförd),Hybrid (instant-book + 48h offert),Gravity Forms (fält ej verif.),Ja (Crisp),WordPress + React,"Sannolikt ja (server-side GTM)",Ja (pixel 446799886155202),Ja,"Skala + äkta instant-book + verifierbara industrireferenser (ABB/Siemens)","Trustpilot 2.6/5; opersonlig; volym faller på 48h-offert",Hög
Blueground,theblueground.com,"Möblerat mid/long-stay; privat relocation + B2B premium","~30–40 globala städer; INGEN Sverige (Linköping=partner)",Transparent online per enhet/mån (hyra; all-in på begäran),1 månad,Instant-book (privat) / hybrid (B2B),"B2B 'Let's connect' (fält ej verif.)",Nej,Custom React-SPA,"Okänt (GTM, ingen AW)",Okänt,Ja,"Global skala + kapital + instant-book + blue-chip-logos","Ingen Göteborg/Sverige; fel ICP (white-collar)",Låg
Företagsbostäder,foretagsbostader.se,"B2B corporate/serviced apts + relocation (+ privat/gäst)","SE: Stockholm/Göteborg (113 lediga)/Malmö/Helsingborg/Lund","Transparent per enhet/mån + priskalkylator (GBG ~11,6–75k SEK)",~5 dygn,Hybrid (self-serve browse + offert),"~7 (destination/gäster/sängar/datum/meddelande/kontakt/persona)",Ja (Weply),Next.js + Directus,Okänt (GTM-TWPGJ5),Okänt,Ja,"Kapitalstark incumbent (Strawberry) + äkta volym + transparent pris/instant browse","Ingen industri/Volvo-nisch; min-stay 5 dygn; bred ICP",Hög
StayEasy,stayeasy.se,"B2B corporate housing konsulter/bemanning/projekt","9 städer mellan-Sverige; INGEN Göteborg","Per natt/månad all-in; fr. ~€109/natt; mest offert",Ingen,Mail/telefon owner-led,3 (namn/mail/meddelande),Nej,WordPress/Elementor,Okänt,Okänt,Ja (200+ sidor),"Äkta namngivna testimonials + lokal portfölj + lönsamt (sedan 2006)","Primitiv mailto-funnel; ingen västkust; låg skala",Låg
Swedacco,swedacco.com,"B2B corporate housing; utländsk projektpersonal (vind/bygg)","SE 10+ städer, tyngdpunkt Norrland; svag Göteborg",Offert; ingen publik prislista,EJ VERIFIERAT,Relations-/förfrågansledd,~2–3 (lågt kvalificerande),Nej,Next.js + Storyblok,Ja (AW-10996836799; 13 ads),Nej (ingen pixel),Ja,"Äkta kundlogos (Peab/Ramboll/Balder) + tydlig vind/bygg-nisch + växande",Ingen pris/min-stay; svag GBG-närvaro; engelsk-only,"Hög (bransch) / Låg (geo)"
Strawberry Corporate Apts,strawberryhotels.com,"B2B corporate apts (lotsar till Företagsbostäder)","SE: Stockholm/Göteborg/Malmö/Lund/Helsingborg/Linköping",Transparent self-serve per lgh/mån (GBG ~12–20k),~5 dygn,Hybrid (self-serve + offert + chatt),~7–8,Ja (Crowdio),Next.js + Directus,Okänt,Okänt,Ja,"Skala + trovärdighet (Strawberry-ägt) + transparent pris + chatt","Generiskt ICP; tunn hotell-SEO-sida; domänhopp",Hög
Homelike,homelike.com (nedlagt 2025-03-28),"Historiskt B2B-marknadsplats; nu B2C/expat (Spacest)","Historiskt 450+ städer; nu ingen Sverige (SE=404)",Marknadsplats (leverantörspris + service fee),28–30 nätter,Self-serve,"Spacest: 4–5 fält",Nej (WhatsApp),Next.js/React,EJ VERIFIERAT,Okänt,Ja (ej Sverige),"Historiskt best-in-class self-serve B2B-bokning + domänauktoritet","KONKURS 2025: utbudslös marknadsplats olönsam; ny ägare har ingen SE-supply",Låg–obefintlig
Sweden Casa Solutions,swedencasasolutions.com,"B2B workforce/contractor + crew (datacenter/EPC/bygg)","'30+ länder'; SE: GBG/Volvo + Norra Sv datacenter; drift fr. Spanien","Offert (dolt); historiskt fr. 20 €/person/dygn; single/shared",30 nätter,Sälj-/offert-lett (proposal 1 dag),7 (antal arbetare valfritt),Nej (WhatsApp),Lovable (React/Vite),Okänt,Okänt,Ja,"Vass datacenter/EPC-nisch + svensk industrigeografi + 24/7","Trovärdighet: AI-byggd, spansk S.L. utan svensk enhet, dold pris",Mycket hög
